"LAA196405090","19640509",0,"Saturday",0,"F","N","CHA","LAA","LOS03","buzhj101","belib101","ricej901","stewb902","stevj901","nappl901","","",8014,"","Luke Kraemer","Luke Kraemer","1995/01/30 6:31PM","",1,0,0,0,-1,0,0,0,180,9,4,7,8,11,1,0,10,8,"belib101","buzhj101","osind101","satrt101","hersm101",8,"bufod101",5,"robif102",9,"hansr102",6,"nichd101",7,"cunnj101",3,"weisa101",4,"carrc104",2,"buzhj101",1,"peara102",8,"morab101",5,"fregj101",6,"thoml103",9,"rodgb102",2,"satrt101",3,"kirke102",7,"knoob101",4,"belib101",1,"acklf101","osind101"
"LAA196405100","19640510",0,"Sunday",0,"F","D","CHA","LAA","LOS03","peteg101","lee-b104","stewb902","stevj901","nappl901","ricej901","","",8078,"","Luke Kraemer","Luke Kraemer","1995/01/30 6:46PM","",1,0,0,0,-1,0,0,0,169,9,5,3,12,10,0,1,12,6,"fishe102","smitw102","wilhh101","martj107","cunnj101",3,"weisa101",4,"robif102",9,"wardp102",5,"hansr102",6,"nichd101",7,"stepg101",8,"martj107",2,"peteg101",1,"simpd102",8,"morab101",5,"fregj101",6,"torrf101",3,"rodgb102",2,"thoml103",9,"knoob101",4,"pierj102",7,"lee-b104",1,"wilhh101","osind101"
"LAA196405110","19640511",0,"Monday",0,"F","N","KC1","LAA","LOS03","drabm101","newmf101","stevj901","nappl901","ricej901","stewb902","","",3357,"","Luke Kraemer","Luke Kraemer","1995/03/07 5:37PM","",1,0,0,0,-1,0,0,0,141,9,5,6,11,8,1,1,7,5,"newmf101","drabm101","latmb101","rodgb102","causw101",6,"greed102",4,"mathn101",8,"gentj101",3,"colar101",9,"lau-c101",2,"willg101",5,"reynt101",7,"drabm101",1,"peara102",8,"morab101",5,"fregj101",6,"thoml103",9,"rodgb102",2,"satrt101",3,"kirke102",7,"knoob101",4,"newmf101",1,"wyatj102","latmb101"
"LAA196405120","19640512",0,"Tuesday",0,"F","N","KC1","LAA","LOS03","odonj101","mcbrk101","nappl901","ricej901","stewb902","stevj901","","",3724,"","Luke Kraemer","Luke Kraemer","1995/03/07 5:46PM","",1,0,0,0,-1,0,0,0,145,9,6,2,10,2,4,1,7,8,"odonj101","mcbrk101","wyatj102","causw101","causw101",6,"mathn101",8,"jimem101",7,"gentj101",3,"colar101",9,"chare101",5,"lau-c101",2,"greed102",4,"odonj101",1,"peara102",7,"morab101",5,"fregj101",6,"torrf101",3,"rodgb102",2,"thoml103",9,"simpd102",8,"knoob101",4,"mcbrk101",1,"wyatj102","smitw102"
"LAA196405131","19640513",1,"Wednesday",0,"F","N","KC1","LAA","LOS03","monta103","latmb101","ricej901","stewb902","stevj901","nappl901","","",0,"","Luke Kraemer","Luke Kraemer","1995/03/07 5:51PM","",1,0,0,0,-1,0,0,0,156,9,0,9,7,12,1,0,10,9,"latmb101","monta103","","latmb101","causw101",6,"mathn101",8,"chare101",5,"gentj101",3,"colar101",9,"jimem101",7,"lau-c101",2,"greed102",4,"monta103",1,"simpd102",8,"morab101",5,"fregj101",6,"thoml103",9,"rodgb102",2,"satrt101",3,"kirke102",7,"knoob101",4,"latmb101",1,"bowst101",""
"LAA196405132","19640513",2,"Wednesday",0,"F","N","KC1","LAA","LOS03","penao101","belib101","stewb902","stevj901","nappl901","ricej901","","",7128,"","Luke Kraemer","Luke Kraemer","1995/03/07 5:56PM","",1,0,0,0,-1,0,0,0,164,9,2,0,9,4,0,1,11,5,"penao101","belib101","wyatj102","edwad102","causw101",6,"mathn101",8,"chare101",5,"colar101",9,"gentj101",3,"alusg101",7,"edwad102",2,"willg101",4,"penao101",1,"simpd102",8,"morab101",5,"fregj101",6,"thoml103",9,"rodgb102",2,"satrt101",3,"kirke102",7,"knoob101",4,"belib101",1,"wyatj102","chand102"
"LAA196405250","19640525",0,"Monday",0,"F","N","MIN","LAA","LOS03","pascc102","latmb101","runge901","smita901","stewb902","honoj901","","",5601,"","","","1994/09/05 5:23PM","",1,0,0,0,-1,0,0,0,156,9,8,1,16,4,0,3,8,6,"pascc102","latmb101","","olivt102","versz101",6,"rollr101",5,"olivt102",9,"hallj107",8,"killh102",7,"mincd101",3,"batte101",2,"alleb105",4,"pascc102",1,"peara102",8,"knoob101",4,"thoml103",9,"rodgb102",2,"morab101",5,"satrt101",3,"kirke102",7,"koppj101",6,"latmb101",1,"","dulib101"
"LAA196405260","19640526",0,"Tuesday",0,"F","N","MIN","LAA","LOS03","kaatj101","mcbrk101","smita901","stewb902","honoj901","runge901","","",5642,"","","","1994/09/05 5:31PM","",1,0,0,0,-1,0,0,0,142,9,2,1,3,8,1,1,6,4,"kaatj101","mcbrk101","","kaatj101","versz101",6,"rollr101",5,"olivt102",9,"hallj107",8,"killh102",7,"mincd101",3,"batte101",2,"alleb105",4,"kaatj101",1,"peara102",9,"knoob101",4,"morab101",5,"adcoj101",3,"rodgb102",2,"perrb103",8,"koppj101",6,"pierj102",7,"mcbrk101",1,"","lee-b104"
"LAA196405271","19640527",1,"Wednesday",0,"F","N","MIN","LAA","LOS03","stanl101","belib101","stewb902","honoj901","runge901","smita901","","",0,"","","","1994/09/05 5:40PM","",1,0,0,0,-1,0,0,0,137,9,1,4,7,9,1,1,3,7,"belib101","stanl101","","thoml103","versz101",6,"rollr101",5,"olivt102",9,"allib103",3,"killh102",7,"hallj107",8,"batte101",2,"alleb105",4,"stanl101",1,"peara102",8,"knoob101",4,"thoml103",9,"rodgb102",2,"morab101",5,"satrt101",3,"kirke102",7,"koppj101",6,"belib101",1,"pleib101",""
"LAA196405272","19640527",2,"Wednesday",0,"F","N","MIN","LAA","LOS03","arrig101","smitw102","honoj901","runge901","smita901","stewb902","","",10138,"","","","1994/09/05 5:50PM","",1,0,0,0,-1,0,0,0,229,13,4,3,10,12,0,1,11,15,"stigd101","lee-d102","","mincd101","versz101",6,"powev101",3,"rollr101",5,"olivt102",9,"allib103",8,"killh102",7,"goryj101",4,"zimmj101",2,"arrig101",1,"pierj102",8,"knoob101",4,"morab101",5,"adcoj101",3,"rodgb102",2,"perrb103",9,"kirke102",7,"koppj101",6,"smitw102",1,"stigd101","lee-d102"
"LAA196405290","19640529",0,"Friday",0,"F","N","BAL","LAA","LOS03","rober102","chand102","runge901","smita901","stewb902","honoj901","","",7802,"","Pavitt","Luke Kraemer","1995/02/27 3:01AM","",1,0,0,0,-1,0,0,0,153,9,3,2,8,9,1,0,5,12,"rober102","chand102","mills101","aparl101","branj101",8,"aparl101",6,"bowes103",7,"poweb101",3,"robib104",5,"kirkw101",9,"adaij101",4,"browd102",2,"rober102",1,"peara102",8,"knoob101",4,"kirke102",7,"thoml103",9,"morab101",5,"rodgb102",2,"satrt101",3,"koppj101",6,"chand102",1,"mills101","lee-b104"
"LAA196405300","19640530",0,"Saturday",0,"F","N","BAL","LAA","LOS03","pappm101","mcbrk101","smita901","stewb902","honoj901","runge901","","",7258,"","Pavitt","Luke Kraemer","1995/02/27 3:07AM","",1,0,0,0,-1,0,0,0,127,9,6,0,13,4,0,0,7,6,"pappm101","mcbrk101","","robib104","branj101",8,"aparl101",6,"bowes103",7,"poweb101",3,"robib104",5,"kirkw101",9,"adaij101",4,"browd102",2,"pappm101",1,"koppj101",6,"peara102",8,"satrt101",3,"rodgb102",2,"morab101",5,"thoml103",9,"kirke102",7,"knoob101",4,"mcbrk101",1,"","newmf101"
