"MLN195905040","19590504",0,"Monday",0,"F","N","LAN","MLN","MIL05","podrj101","spahw101","lands901","sudoe901","gormt101","boggd901","","",15262,"Allan Roth","David W. Smith","David W. Smith","1996/03/20 10:29PM","",1,1,0,0,-1,0,0,0,147,9,5,3,8,12,1,0,7,8,"podrj101","spahw101","fowla101","","gillj102",5,"nealc101",4,"demed101",8,"furic101",9,"hodgg101",3,"repur101",7,"zimmd101",6,"pignj101",2,"podrj101",1,"obrij101",4,"mathe101",5,"aaroh101",9,"adcoj101",7,"pafka101",8,"torrf102",3,"crand102",2,"logaj101",6,"spahw101",1,"fowla101",""
"MLN195905050","19590505",0,"Tuesday",0,"F","N","LAN","MLN","MIL05","drysd101","willc104","sudoe901","gormt101","boggd901","lands901","","",16151,"Allan Roth","David W. Smith","David W. Smith","1996/03/21 10:35PM","",1,1,0,0,-1,0,0,0,287,16,2,3,9,15,0,3,10,16,"rushb101","labic101","","","gillj102",5,"nealc101",4,"moonw101",7,"snidd101",9,"hodgg101",3,"demed101",8,"rosej101",2,"zimmd101",6,"drysd101",1,"brutb101",8,"mathe101",5,"aaroh101",9,"vernm101",7,"torrf102",3,"crand102",2,"logaj101",6,"obrij101",4,"willc104",1,"labic101","rushb101"
"MLN195905060","19590506",0,"Wednesday",0,"F","D","LAN","MLN","MIL05","snydg102","jay-j101","gormt101","boggd901","lands901","sudoe901","","",10882,"Allan Roth","David W. Smith","David W. Smith","1996/03/23 3:01PM","",1,1,0,0,-1,0,0,0,187,9,4,5,5,12,2,1,8,13,"giggb101","fowla101","trowb101","","gillj102",5,"nealc101",4,"moonw101",7,"demed101",8,"fairr101",9,"hodgg101",3,"rosej101",2,"zimmd101",6,"snydg102",1,"obrij101",4,"mathe101",5,"aaroh101",9,"adcoj101",7,"lopas101",3,"crand102",2,"logaj101",6,"pafka101",8,"jay-j101",1,"fowla101","trowb101"
"MLN195905080","19590508",0,"Friday",0,"F","N","CIN","MLN","MIL05","lawrb103","burdl101","jackb901","craws901","delmv901","barla901","","",16624,"Fans' Scorecard","Ron Rakowski","Ron Rakowski","1996/01/25 4:41PM","",1,0,0,0,-1,0,0,0,148,9,3,2,7,11,1,1,5,9,"lawrb103","burdl101","","","tempj101",4,"pinsv101",8,"lyncj102",7,"robif103",3,"bellg103",9,"thomf103",5,"baile101",2,"mcmir101",6,"lawrb103",1,"brutb101",8,"mathe101",5,"aaroh101",9,"coviw101",7,"torrf102",3,"crand102",2,"logaj101",6,"obrij101",4,"burdl101",1,"","pizaj101"
"MLN195905090","19590509",0,"Saturday",0,"F","D","CIN","MLN","MIL05","purkb101","spahw101","craws901","delmv901","barla901","jackb901","","",15745,"60, 22","Rakowski/Smith","Rakowski/Smith","2006/02/08 8:23AM","",1,0,56,0,-1,0,0,0,138,9,3,0,9,7,2,1,10,6,"purkb101","spahw101","","","tempj101",4,"pinsv101",8,"robif103",3,"thomf103",5,"pendj101",7,"bellg103",9,"mcmir101",6,"dottd101",2,"purkb101",1,"obrij101",4,"mathe101",5,"aaroh101",9,"coviw101",7,"torrf102",3,"brutb101",8,"crand102",2,"logaj101",6,"spahw101",1,"","mcmad102"
"MLN195905101","19590510",1,"Sunday",0,"F","D","CIN","MLN","MIL05","newcd101","rushb101","delmv901","barla901","jackb901","craws901","","",0,"Dave O'Hara","Ron Rakowski","Ron Rakowski","1996/01/25 5:46PM","",1,0,0,0,-1,0,0,0,174,9,4,12,14,11,3,1,11,4,"rushb101","newcd101","mcmad102","","tempj101",4,"pinsv101",8,"lyncj102",7,"robif103",3,"bellg103",9,"thomf103",5,"baile101",2,"mcmir101",6,"newcd101",1,"brutb101",8,"mathe101",5,"aaroh101",9,"coviw101",7,"torrf102",3,"logaj101",6,"lopas101",2,"obrij101",4,"rushb101",1,"jeffh101","mcmad102"
"MLN195905102","19590510",2,"Sunday",0,"F","D","CIN","MLN","MIL05","nuxhj101","willc104","barla901","jackb901","craws901","delmv901","","",25334,"Dave O'Hara","Ron Rakowski","Ron Rakowski","1996/01/25 5:59PM","",1,0,0,0,-1,0,0,0,143,9,1,2,8,10,1,0,7,11,"willc104","nuxhj101","","","tempj101",4,"pinsv101",8,"lyncj102",7,"robif103",3,"bellg103",9,"thomf103",5,"mcmir101",6,"dottd101",2,"nuxhj101",1,"obrij101",4,"mathe101",5,"aaroh101",9,"adcoj101",3,"coviw101",7,"pafka101",8,"crand102",2,"logaj101",6,"willc104",1,"",""
"MLN195905260","19590526",0,"Tuesday",800,"F","N","PIT","MLN","MIL05","haddh101","burdl101","smitv101","dascf901","secof101","dixoh901","","",19194,"62,276","Ron Rakowski","Ron Rakowski","1996/01/25 6:27PM","",1,0,0,0,-1,0,0,0,174,13,0,1,12,1,1,0,8,1,"burdl101","haddh101","","","schod101",6,"virdb101",8,"burgs101",2,"nelsr103",3,"skinb101",7,"mazeb101",4,"hoakd101",5,"mejir101",9,"haddh101",1,"obrij101",4,"mathe101",5,"aaroh101",9,"adcoj101",3,"coviw101",7,"crand102",2,"pafka101",8,"logaj101",6,"burdl101",1,"",""
"MLN195905270","19590527",0,"Wednesday",0,"F","N","PIT","MLN","MIL05","law-v101","spahw101","dascf901","secof101","dixoh901","smitv101","","",17721,"Dave O'Hara","Ron Rakowski","Ron Rakowski","1996/01/25 10:54PM","",1,0,0,0,-1,0,0,0,135,9,3,4,9,9,2,1,7,4,"spahw101","law-v101","mcmad102","","schod101",6,"virdb101",8,"burgs101",2,"stuad101",3,"skinb101",7,"mazeb101",4,"hoakd101",5,"mejir101",9,"law-v101",1,"brutb101",8,"mathe101",5,"aaroh101",9,"coviw101",7,"adcoj101",3,"crand102",2,"logaj101",6,"obrij101",4,"spahw101",1,"grosd101","mcmad102"
"MLN195905280","19590528",0,"Thursday",0,"F","D","PIT","MLN","MIL05","frieb102","jay-j101","secof101","dixoh901","smitv101","dascf901","","",12635,"Dave O'Hara","Ron Rakowski","Ron Rakowski","1996/01/25 11:07PM","",1,0,0,0,-1,0,0,0,133,9,3,0,7,4,2,0,7,4,"frieb102","jay-j101","","","chrij101",9,"virdb101",8,"kravd101",2,"nelsr103",3,"skinb101",7,"mazeb101",4,"hoakd101",5,"groad101",6,"frieb102",1,"brutb101",8,"mathe101",5,"aaroh101",9,"coviw101",7,"adcoj101",3,"crand102",2,"logaj101",6,"obrij101",4,"jay-j101",1,"","rushb101"
