"SEA199304060","19930406",0,"Tuesday",744,"T","N","TOR","SEA","SEA02","morrj001","johnr005","cobld901","merrd901","hirsj901","welkt901","","",56120,"","","","","",0,1,0,0,-1,4,1,5,161,9,1,8,7,11,0,0,6,10,"johnr005","morrj001","","","whitd001",8,"alomr001",4,"molip001",10,"cartj001",7,"jackd002",9,"martd003",3,"sprae001",5,"bordp001",2,"schod001",6,"vizqo001",6,"feldm001",7,"grifk002",8,"martt002",3,"obrip001",10,"buhnj001",9,"blowm001",5,"valld001",2,"amarr001",4,"timlm001","delur001"
"SEA199304070","19930407",0,"Wednesday",1241,"T","D","TOR","SEA","SEA02","leita001","bosic001","merrd901","hirsj901","welkt901","cobld901","","",27837,"","","","","",0,1,0,0,-1,4,1,5,137,9,2,0,5,3,0,1,6,5,"leita001","bosic001","wardd001","","whitd001",8,"alomr001",4,"molip001",10,"olerj001",3,"jackd002",9,"wardt001",7,"sprae001",5,"bordp001",2,"schod001",6,"vizqo001",6,"cotth001",7,"grifk002",8,"martt002",3,"littg001",10,"buhnj001",9,"blowm001",5,"valld001",2,"amarr001",4,"wardd001","leart001"
"SEA199304090","19930409",0,"Friday",737,"T","N","BAL","SEA","SEA02","mcdob001","hanse001","johnm901","mckej901","voltv901","kaisk901","","",23015,"","","","","",0,1,0,0,-1,4,1,5,188,9,0,6,9,6,1,0,15,7,"hanse001","mcdob001","","","andeb001",7,"devem001",8,"ripkc001",6,"bainh001",10,"davig001",3,"hoilc001",2,"martc003",9,"gomel001",5,"reynh001",4,"vizqo001",6,"feldm001",7,"grifk002",8,"martt002",3,"obrip001",10,"buhnj001",9,"backw001",5,"valld001",2,"amarr001",4,"olsog001","charn001"
"SEA199304100","19930410",0,"Saturday",706,"T","N","BAL","SEA","SEA02","sutcr001","cummj001","mckej901","voltv901","kaisk901","johnm901","","",54641,"","","","","",0,1,0,0,-1,4,1,5,181,9,5,3,9,5,0,1,8,8,"sutcr001","cummj001","olsog001","","andeb001",7,"devem001",8,"ripkc001",6,"davig001",3,"bainh001",10,"hulet001",5,"obans001",9,"reynh001",4,"tackj001",2,"vizqo001",6,"feldm001",7,"grifk002",8,"martt002",3,"obrip001",10,"buhnj001",9,"backw001",5,"valld001",2,"amarr001",4,"olsog001","leart001"
"SEA199304110","19930411",0,"Sunday",135,"T","D","BAL","SEA","SEA02","rhoda001","johnr005","voltv901","kaisk901","johnm901","mckej901","","",16887,"","","","","",0,1,0,0,-1,4,1,5,263,12,6,7,11,15,0,0,10,16,"swanr001","willm004","","","andeb001",7,"devem001",8,"ripkc001",6,"davig001",10,"hoilc001",2,"gomel001",5,"segud001",3,"mercl001",9,"mclem001",4,"amarr001",4,"cotth001",7,"grifk002",8,"buhnj001",9,"martt002",3,"littg001",10,"blowm001",5,"valld001",2,"vizqo001",6,"willm004","swanr001"
"SEA199304200","19930420",0,"Tuesday",706,"T","N","BOS","SEA","SEA02","clemr001","cummj001","johnm901","mckej901","voltv901","kaisk901","","",28714,"","","","","",0,1,0,0,-1,4,1,5,180,9,5,2,11,5,1,0,6,7,"clemr001","cummj001","russj001","","hatcb001",8,"quinc001",9,"greem001",7,"dawsa001",10,"vaugm001",3,"valej002",6,"coops001",5,"penat001",2,"rivel001",4,"vizqo001",6,"feldm001",7,"grifk002",8,"martt002",3,"obrip001",10,"buhnj001",9,"vinaf001",4,"valld001",2,"amarr001",5,"russj001","nelsj001"
"SEA199304210","19930421",0,"Wednesday",705,"T","N","BOS","SEA","SEA02","darwd001","johnr005","mckej901","voltv901","kaisk901","johnm901","","",13641,"","","","","",0,1,0,0,-1,4,1,5,152,9,0,5,4,10,0,0,4,4,"johnr005","darwd001","","","zupcb001",8,"quinc001",3,"greem001",7,"dawsa001",10,"caldi001",9,"valej002",6,"coops001",5,"melvb001",2,"rivel001",4,"vizqo001",6,"feldm001",7,"grifk002",8,"obrip001",10,"buhnj001",9,"martt002",3,"valld001",2,"vinaf001",4,"amarr001",5,"fosst001",""
"SEA199304220","19930422",0,"Thursday",706,"T","N","BOS","SEA","SEA02","heskj001","bosic001","voltv901","kaisk901","johnm901","mckej901","","",13604,"","","","","",0,1,0,0,-1,4,1,5,132,9,0,7,0,11,1,0,1,6,"bosic001","heskj001","","","rilee001",4,"quinc001",9,"greem001",7,"dawsa001",10,"vaugm001",3,"caldi001",8,"coops001",5,"valej002",6,"penat001",2,"feldm001",7,"cotth001",10,"grifk002",8,"buhnj001",9,"boonb002",4,"martt002",3,"blowm001",5,"valld001",2,"vizqo001",6,"ryank001",""
"SEA199304230","19930423",0,"Friday",736,"T","N","NYA","SEA","SEA02","abboj001","leart001","denkd901","shulj901","tscht901","joycj901","","",25155,"","","","","",0,1,0,0,-1,4,1,5,168,9,3,6,10,10,2,0,11,6,"hampm001","abboj001","charn001","","willb002",8,"boggw001",5,"mattd001",3,"tartd001",9,"oneip001",7,"velar001",6,"maask001",10,"nokem001",2,"kellp001",4,"feldm001",7,"cotth001",10,"grifk002",8,"buhnj001",9,"boonb002",4,"martt002",3,"blowm001",5,"valld001",2,"vizqo001",6,"howes001","charn001"
"SEA199304240","19930424",0,"Saturday",705,"T","N","NYA","SEA","SEA02","perem001","hanse001","shulj901","tscht901","joycj901","denkd901","","",52814,"","","","","",0,1,0,0,-1,4,1,5,196,11,1,0,11,2,1,0,11,3,"howes001","swanr001","farrs001","","willb002",8,"boggw001",5,"mattd001",3,"tartd001",9,"oneip001",7,"nokem001",2,"maask001",10,"owens001",6,"kellp001",4,"vizqo001",6,"sassm001",7,"grifk002",8,"obrip001",10,"martt002",3,"buhnj001",9,"valld001",2,"amarr001",5,"vinaf001",4,"farrs001","nelsj001"
