"ATL198404030","19840403",0,"Tuesday",0,"F","N","PHI","ATL","ATL01","carls001","barkl001","engeb901","palld901","rungp901","marsr901","","",34331,"","","","","",0,0,0,0,-1,0,0,0,140,9,5,0,10,4,0,1,7,5,"carls001","barkl001","","","samuj001",4,"matul001",3,"schmm001",5,"lefej001",9,"wilsg001",7,"hayev001",8,"diazb001",2,"dejei001",6,"carls001",1,"washc001",9,"roysj001",7,"murpd001",8,"hornb001",5,"watsb001",3,"ramir001",6,"hubbg001",4,"beneb001",2,"barkl001",1,"campb001","dedmj001"
"ATL198404040","19840404",0,"Wednesday",0,"F","D","PHI","ATL","ATL01","dennj001","mcmuc001","palld901","rungp901","marsr901","engeb901","","",11152,"","","","","",0,0,0,0,-1,0,0,0,114,9,0,4,6,5,2,0,7,4,"mcmuc001","dennj001","bedrs001","","samuj001",4,"matul001",3,"schmm001",5,"lefej001",9,"wilsg001",7,"hayev001",8,"diazb001",2,"dejei001",6,"dennj001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"mcmuc001",1,"mcgrt001","bedrs001"
"ATL198404060","19840406",0,"Friday",0,"F","N","MON","ATL","ATL01","smitb001","daylk001","rungp901","marsr901","engeb901","palld901","","",18411,"","","","","",0,0,0,0,-1,0,0,0,159,9,8,5,14,9,0,2,6,6,"smitb001","daylk001","harrg001","","rosep001",7,"littb001",4,"raint001",8,"dawsa001",9,"cartg001",2,"wallt001",5,"frant001",3,"salaa001",6,"smitb001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"daylk001",1,"harrg001","dedmj001"
"ATL198404070","19840407",0,"Saturday",0,"F","N","MON","ATL","ATL01","palmd001","falcp001","marsr901","engeb901","palld901","rungp901","","",24663,"","","","","",0,0,0,0,-1,0,0,0,175,9,7,2,13,6,0,1,9,8,"palmd001","falcp001","rearj001","","rosep001",7,"littb001",4,"raint001",8,"dawsa001",9,"cartg001",3,"wallt001",5,"ramor001",2,"salaa001",6,"palmd001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"falcp001",1,"rearj001","garbg001"
"ATL198404080","19840408",0,"Sunday",0,"F","D","MON","ATL","ATL01","lea-c001","barkl001","engeb901","palld901","rungp901","marsr901","","",21287,"Braves","","","","",0,0,0,0,-1,0,0,0,165,9,2,6,6,7,2,1,6,9,"barkl001","lea-c001","bedrs001","beneb001","rosep001",7,"littb001",4,"raint001",8,"dawsa001",9,"cartg001",2,"wallt001",5,"frant001",3,"salaa001",6,"lea-c001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"barkl001",1,"schad001","bedrs001"
"ATL198404100","19840410",0,"Tuesday",0,"F","N","NYN","ATL","ATL01","darlr001","mcmuc001","pullf901","crawj901","westj901","harvd901","","",6660,"","","","","",0,0,0,0,-1,0,0,0,133,9,4,2,8,5,0,0,6,4,"swanc001","mcmuc001","orosj001","","backw001",4,"oquej001",6,"hernk001",3,"fostg001",7,"strad001",9,"wilsm001",8,"brooh001",5,"hodgr001",2,"darlr001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"mcmuc001",1,"orosj001","garbg001"
"ATL198404110","19840411",0,"Wednesday",0,"F","N","NYN","ATL","ATL01","terrw001","daylk001","crawj901","westj901","harvd901","pullf901","","",8569,"","","","","",0,0,0,0,-1,0,0,0,155,9,6,1,10,5,0,5,15,6,"terrw001","daylk001","","","gardr001",4,"oquej001",6,"hernk001",3,"fostg001",7,"strad001",9,"wilsm001",8,"brooh001",5,"gibbj001",2,"terrw001",1,"washc001",9,"ramir001",6,"perrg001",7,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"daylk001",1,"siskd001","garbg001"
"ATL198404200","19840420",0,"Friday",0,"F","N","HOU","ATL","ATL01","ryann001","daylk001","willb901","steld901","mcshj901","brocf901","","",12810,"","","","","",0,0,0,0,-1,0,0,0,207,9,7,8,16,10,1,3,11,11,"garbg001","ruhlv001","","","bassk001",9,"cabee001",3,"cruzj001",7,"mumpj001",8,"knigr001",5,"garnp001",4,"ashba001",2,"reync001",6,"ryann001",1,"halla001",7,"ramir001",6,"washc001",9,"murpd001",8,"hornb001",5,"chamc001",3,"hubbg001",4,"beneb001",2,"daylk001",1,"ruhlv001","garbg001"
"ATL198404210","19840421",0,"Saturday",0,"F","N","HOU","ATL","ATL01","scotm001","mcmuc001","steld901","mcshj901","brocf901","willb901","","",29347,"","","","","",0,0,0,0,-1,0,0,0,160,9,4,3,11,6,1,0,5,9,"dawlb001","bedrs001","dipif001","","dorab001",4,"bassk001",9,"cruzj001",7,"mumpj001",8,"knigr001",3,"garnp001",5,"ashba001",2,"reync001",6,"scotm001",1,"halla001",7,"ramir001",6,"washc001",9,"murpd001",8,"hornb001",5,"chamc001",3,"roysj001",4,"beneb001",2,"mcmuc001",1,"dipif001","bedrs001"
"ATL198404220","19840422",0,"Sunday",0,"F","D","HOU","ATL","ATL01","niekj001","falcp001","mcshj901","brocf901","willb901","steld901","","",6891,"","","","","",0,0,0,0,-1,0,0,0,147,9,3,1,10,5,2,0,10,6,"niekj001","falcp001","dipif001","","bassk001",9,"cabee001",3,"cruzj001",7,"mumpj001",8,"knigr001",5,"garnp001",4,"ashba001",2,"reync001",6,"niekj001",1,"halla001",7,"ramir001",6,"washc001",9,"murpd001",8,"hornb001",5,"chamc001",3,"roysj001",4,"beneb001",2,"falcp001",1,"dipif001","garbg001"
