"TOR197804140","19780414",0,"Friday",152,"T","D","DET","TOR","TOR01","slatj001","garvj101","malog901","mckej901","koscg901","neudj901","","",35761,"Tigers/Jays","M. Pankin","M. Pankin","1997/02/27 9:54PM","",1,0,47,0,-1,0,0,0,175,9,8,10,13,12,3,0,7,8,"kirkd101","wilcm001","murpt101","","leflr101",8,"whitl001",4,"staur001",10,"thomj001",3,"kemps001",7,"corct001",9,"may-m001",2,"rodra101",5,"trama001",6,"boser101",8,"bailb001",5,"hower001",9,"cartr101",10,"maybj101",3,"huttt101",7,"mckad101",4,"gomel101",6,"ashba001",2,"taylb101","murpt101"
"TOR197804150","19780415",0,"Saturday",137,"T","D","DET","TOR","TOR01","billj101","undet001","mckej901","koscg901","neudj901","malog901","","",15024,"Tigers/Jays","M. Pankin","M. Pankin","1997/02/27 10:27PM","",1,0,41,0,-1,0,0,0,146,9,6,3,11,11,0,2,9,8,"billj101","willm101","foucs101","","leflr101",8,"dills101",4,"staur001",10,"thomj001",3,"kemps001",7,"spikc101",9,"parrl001",2,"rodra101",5,"wagnm001",6,"boser101",8,"bailb001",5,"hower001",9,"cartr101",10,"maybj101",3,"huttt101",7,"mckad101",4,"gomel101",6,"ashba001",2,"foucs101","murpt101"
"TOR197804160","19780416",0,"Sunday",130,"T","D","DET","TOR","TOR01","rozed001","clanj001","koscg901","neudj901","malog901","mckej901","","",17088,"Tigers/Jays","M. Pankin","M. Pankin","1997/03/02 4:38PM","",1,0,50,0,-1,0,0,0,141,9,4,3,10,8,0,0,8,3,"crawj102","clanj001","","","leflr101",8,"mankp101",5,"staur001",10,"thomj001",3,"kemps001",7,"corct001",9,"may-m001",2,"whitl001",4,"trama001",6,"boser101",8,"bailb001",5,"hower001",9,"cartr101",10,"maybj101",3,"huttt101",7,"iorgg001",4,"gomel101",6,"ceror001",2,"crawj102","moorb101"
"TOR197804170","19780417",0,"Monday",404,"T","D","KCA","TOR","TOR01","gural001","jeffj101","chyln901","lucir901","garcr901","voltv901","","",10169,"KC/Tor","Vincent","Vincent","1995/12/18 3:45PM","",1,0,55,0,-1,0,0,3,127,9,3,1,5,3,0,1,4,4,"gural001","jeffj101","hraba101","","wilsw001",7,"mcrah001",10,"bretg001",5,"cowea001",9,"portd001",2,"otisa001",8,"hurdc001",3,"patef101",6,"whitf001",4,"boser101",8,"bailb001",5,"hower001",9,"cartr101",10,"maybj101",3,"ceror001",2,"wooda001",7,"iorgg001",4,"gomel101",6,"hraba101",""
"TOR197804180","19780418",0,"Tuesday",403,"T","D","KCA","TOR","TOR01","splip001","lemad101","lucir901","garcr901","voltv901","chyln901","","",10218,"KC/Tor","Vincent","Vincent","1995/12/18 3:54PM","",1,0,50,0,30,0,0,0,133,9,5,0,9,5,2,1,6,5,"splip001","lemad101","","","wilsw001",7,"mcrah001",10,"bretg001",5,"cowea001",9,"portd001",2,"otisa001",8,"hurdc001",3,"patef101",6,"whitf001",4,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"aultd101",7,"maybj101",3,"ceror001",2,"mckad101",4,"gomel101",6,"","willm101"
"TOR197804190","19780419",0,"Wednesday",400,"T","D","NYA","TOR","TOR01","holtk101","garvj101","garcr901","voltv901","chyln901","lucir901","","",13306,"6/7","Dunkle","Dunkle","1997/02/27 11:03PM","",1,0,48,0,30,0,0,0,151,9,3,4,8,9,2,1,7,7,"murpt101","gossr001","","","randw001",4,"rivem001",8,"munst101",2,"jackr001",9,"pinil001",7,"chamc001",3,"johnc001",10,"nettg001",5,"dentb001",6,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"aultd101",7,"maybj101",3,"ceror001",2,"mckad101",4,"gomel101",6,"gossr001","murpt101"
"TOR197804210","19780421",0,"Friday",403,"T","D","CHA","TOR","TOR01","barrf101","undet001","clara901","kunkb101","deegb901","coont901","","",10108,"WSox/Jays","Dobrow","Dobrow","1997/02/12 2:01PM","",1,0,44,0,-1,0,0,0,163,9,11,2,17,7,1,0,10,8,"barrf101","undet001","lagrl101","","moorj101",5,"ortaj001",4,"lemoc001",8,"bondb101",9,"johnl101",3,"nordw101",7,"sodee101",10,"nahob001",2,"edenm101",6,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"maybj101",3,"huttt101",7,"ceror001",2,"mckad101",4,"gomel101",6,"lagrl101","willm101"
"TOR197804220","19780422",0,"Saturday",137,"T","D","CHA","TOR","TOR01","woodw103","clanj001","kunkb101","deegb901","clara901","coont901","","",44327,"Jays/WSox","Dobrow","Dobrow","1997/02/15 6:00AM","",1,0,50,0,-1,0,0,0,128,9,2,4,8,8,1,1,4,6,"clanj001","woodw103","willm101","","garrr101",7,"ortaj001",4,"lemoc001",8,"bondb101",9,"johnl101",3,"blomr101",10,"moorj101",5,"nahob001",2,"edenm101",6,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"aultd101",7,"maybj101",3,"ceror001",2,"iorgg001",4,"gomel101",6,"willj102","willm101"
"TOR197804230","19780423",0,"Sunday",138,"T","D","CHA","TOR","TOR01","stons101","jeffj101","deegb901","clara901","kunkb101","coont901","","",17427,"Jays/WSox","Dobrow","Dobrow","1997/02/15 5:21PM","",1,0,54,0,-1,0,0,0,130,9,0,4,3,10,0,0,3,8,"jeffj101","stons101","","","garrr101",7,"ortaj001",4,"lemoc001",8,"bondb101",9,"johnl101",3,"molib101",10,"moorj101",5,"nordw101",2,"edenm101",6,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"maybj101",3,"huttt101",7,"ceror001",2,"iorgg001",4,"gomel101",6,"torrp101",""
"TOR197804240","19780424",0,"Monday",404,"T","D","CLE","TOR","TOR01","hoodd101","lemad101","clara901","kunkb101","coont901","deegb901","","",10776,"Jays, Indians","Doug Burks","Doug Burks","1996/12/27 6:03PM","",0,0,64,0,-1,0,0,0,165,9,4,2,8,10,0,2,4,13,"hoodd101","lemad101","kernj001","","norrj101",9,"grubj001",7,"bellb001",5,"thora001",3,"blanl101",6,"hortw101",10,"pruir101",2,"kuipd001",4,"mannr001",8,"boser101",8,"bailb001",9,"hower001",5,"cartr101",10,"maybj101",3,"aultd101",7,"ceror001",2,"iorgg001",4,"gomel101",6,"kernj001","murpt101"
