"BRO194904190","19490419",0,"Tuesday",0,"F","D","NY1","BRO","NYC15","jansl101","hattj101","pineb101","gorea901","robbs901","dascf901","","",34530,"27","","Alan Boodman","1994/11/16 7:23PM","",1,1,0,0,-1,0,0,0,191,9,3,10,10,11,1,0,8,7,"hattj101","jansl101","","","rignb101",4,"lockw101",7,"gords101",5,"mizej101",3,"thomb105",8,"marsw101",9,"coopw102",2,"kerrb101",6,"jansl101",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"hattj101",1,"behrh101",""
"BRO194904200","19490420",0,"Wednesday",0,"F","D","NY1","BRO","NYC15","jones103","branr103","gorea901","robbs901","dascf901","pineb101","","",21864,"27","","Alan Boodman","1994/11/17 8:40AM","",1,1,0,0,-1,0,0,0,145,9,2,6,4,4,4,2,5,7,"branr103","jones103","","","rignb101",4,"lockw101",7,"gords101",5,"mizej101",3,"thomb105",8,"marsw101",9,"coopw102",2,"kerrb101",6,"jones103",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"branr103",1,"webbr101",""
"BRO194904210","19490421",0,"Thursday",0,"F","D","NY1","BRO","NYC15","hartc102","roe-p101","robbs901","dascf901","pineb101","gorea901","","",22436,"27","","Alan Boodman","1994/11/17 9:49AM","",1,1,0,0,-1,0,0,0,127,9,4,1,7,4,1,2,5,5,"hartc102","roe-p101","","","rhawr101",4,"lockw101",7,"gords101",9,"mizej101",3,"thomb105",8,"lohrj101",5,"livim101",2,"kerrb101",6,"hartc102",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"roe-p101",1,"","bantj101"
"BRO194904250","19490425",0,"Monday",0,"F","D","BSN","BRO","NYC15","voisb101","martm101","conlj102","warnl101","(none)","stewb901","","",10048,"27","","Alan Boodman","1994/11/17 12:49PM","",1,1,0,0,-1,0,0,0,125,9,3,0,6,6,1,3,6,8,"voisb101","martm101","","","stane101",4,"darka101",6,"torge101",3,"ellib103",5,"russj102",8,"conac101",7,"holmt101",9,"masip101",2,"voisb101",1,"abrac101",7,"reesp101",6,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"martm101",1,"","mcglp101"
"BRO194904260","19490426",0,"Tuesday",0,"F","D","BSN","BRO","NYC15","sainj101","roe-p101","warnl101","stewb901","(none)","conlj102","","",10019,"27","","Alan Boodman","1994/11/17 2:44PM","",1,1,0,0,-1,0,0,0,104,9,2,5,7,9,1,0,3,5,"roe-p101","sainj101","","","stane101",4,"darka101",6,"torge101",3,"ellib103",5,"russj102",8,"conac101",7,"holmt101",9,"masip101",2,"sainj101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"furic101",9,"cox-b101",5,"hodgg101",3,"campr102",2,"roe-p101",1,"",""
"BRO194904290","19490429",0,"Friday",0,"F","D","PHI","BRO","NYC15","heink101","hattj101","warnl101","stewb901","(none)","conlj102","","",8090,"27","","Alan Boodman","1994/11/17 6:34PM","",1,1,0,0,-1,0,0,0,135,9,5,2,5,8,0,1,5,7,"heink101","hattj101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"blatj101",9,"jonew101",5,"mille104",4,"semia101",2,"heink101",1,"reesp101",6,"mccom101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"hattj101",1,"","podbb101"
"BRO194904300","19490430",0,"Saturday",0,"F","D","PHI","BRO","NYC15","boroh101","bantj101","stewb901","conlj102","(none)","warnl101","","",19572,"27","","Alan Boodman","1994/11/17 6:57PM","",1,1,0,0,-1,0,0,0,159,9,12,4,8,10,1,0,3,7,"boroh101","bantj101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"nichb101",9,"jonew101",5,"mille104",4,"semia101",2,"boroh101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"bantj101",1,"","podbb101"
"BRO194905010","19490501",0,"Sunday",0,"F","D","PHI","BRO","NYC15","meyer101","roe-p101","conlj102","warnl101","(none)","stewb901","","",20507,"27","","Alan Boodman","1994/11/17 8:11PM","",1,1,0,0,-1,0,0,0,137,9,4,2,10,8,0,0,6,6,"meyer101","roe-p101","","","ashbr101",8,"hamng102",6,"waite101",3,"ennid101",7,"holls101",9,"jonew101",5,"mille104",4,"semia101",2,"meyer101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"roe-p101",1,"","bantj101"
"BRO194905030","19490503",0,"Tuesday",0,"F","D","CIN","BRO","NYC15","raffk101","branr103","barla901","barrg901","(none)","balll901","","",6883,"27","","Alan Boodman","1994/11/18 8:33AM","",1,1,0,0,-1,0,0,0,140,9,0,3,6,12,0,1,12,10,"branr103","raffk101","","","hattg101",5,"wyroj101",9,"merrl102",8,"litwd101",7,"klust101",3,"blooj101",4,"stalv101",6,"muelr101",2,"raffk101",1,"reesp101",6,"mccom101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"branr103",1,"eraue101",""
"BRO194905040","19490504",0,"Wednesday",0,"F","D","CIN","BRO","NYC15","fox-h101","hattj101","barrg901","balll901","(none)","barla901","","",9229,"27","","Alan Boodman","1994/11/18 8:50AM","",1,1,0,0,-1,0,0,0,110,9,1,5,7,10,0,0,7,6,"hattj101","fox-h101","","","hattg101",5,"wyroj101",8,"litwd101",9,"saueh101",7,"blooj101",4,"stalv101",6,"klust101",3,"howed102",2,"fox-h101",1,"reesp101",6,"hermg101",7,"snidd101",8,"robij103",4,"campr102",2,"cox-b101",5,"hodgg101",3,"furic101",9,"hattj101",1,"fanof101",""
