"BRO195204180","19520418",0,"Friday",0,"F","D","NY1","BRO","NYC15","hearj102","labic101","gorea901","stewb901","conlj102","gugla901","","",31032,"Allan Roth","","Alan Boodman","1995/01/07 3:52PM","",1,1,0,0,-1,0,0,0,230,12,6,7,10,12,0,0,8,11,"loesb101","speng102","","","willd102",4,"darka101",6,"thomb105",5,"thomh103",7,"maysw101",8,"mueld101",9,"lockw101",3,"westw101",2,"hearj102",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"snidd101",8,"pafka101",7,"hodgg101",3,"furic101",9,"labic101",1,"speng102","loesb101"
"BRO195204190","19520419",0,"Saturday",0,"F","D","NY1","BRO","NYC15","lanim101","branr103","stewb901","conlj102","(none)","gugla901","","",21301,"Allan Roth","","Alan Boodman","1995/01/07 7:30PM","",1,1,0,0,-1,0,0,0,145,9,6,11,9,9,0,0,7,5,"branr103","lanim101","","","willd102",4,"darka101",6,"thomb105",5,"ellib103",7,"maysw101",8,"mueld101",9,"lockw101",3,"westw101",2,"lanim101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"branr103",1,"wilhh101",""
"BRO195204200","19520420",0,"Sunday",0,"F","D","NY1","BRO","NYC15","magls101","wadeb101","conlj102","gugla901","gorea901","stewb901","","",29266,"Allan Roth","","Alan Boodman","1995/01/07 7:38PM","",1,1,0,0,-1,0,0,0,159,9,6,0,8,2,0,2,6,8,"magls101","wadeb101","","","willd102",4,"lockw101",3,"thomb105",5,"thomh103",7,"maysw101",8,"mueld101",9,"darka101",6,"westw101",2,"magls101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"snidd101",8,"pafka101",7,"hodgg101",3,"furic101",9,"wadeb101",1,"","loesb101"
"BRO195204221","19520422",1,"Tuesday",0,"F","D","BSN","BRO","NYC15","surkm101","vancc101","dascf901","secof101","goetl901","jordl901","","",0,"Allan Roth","","Alan Boodman","1995/01/08 8:28AM","",1,1,0,0,-1,0,0,0,133,9,1,2,7,10,1,0,6,14,"vancc101","thieb101","","","reedb103",4,"jeths101",8,"torge101",3,"gords101",7,"marsw101",9,"coopw102",2,"mathe101",5,"cusij101",6,"surkm101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"snidd101",8,"pafka101",7,"hodgg101",3,"furic101",9,"vancc101",1,"thieb101",""
"BRO195204222","19520422",2,"Tuesday",0,"F","N","BSN","BRO","NYC15","wilsj104","roe-p101","secof101","goetl901","(none)","dascf901","","",25002,"Allan Roth","","Alan Boodman","1995/01/08 8:37AM","",1,1,0,0,-1,0,0,0,137,9,1,3,7,5,2,0,8,5,"roe-p101","wilsj104","","","reedb103",4,"jeths101",8,"torge101",3,"gords101",7,"marsw101",9,"burrp101",2,"mathe101",5,"cusij101",6,"wilsj104",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"snidd101",8,"pafka101",7,"hodgg101",3,"furic101",9,"roe-p101",1,"",""
"BRO195205101","19520510",1,"Saturday",0,"F","N","PHI","BRO","NYC15","drewk101","branr103","warnl101","pineb101","(none)","boggd901","","",0,"Allan Roth","","Alan Boodman","1995/01/09 5:49PM","",1,1,0,0,-1,0,0,0,150,9,4,0,10,2,1,0,5,2,"drewk101","branr103","","","ashbr101",8,"hamng102",6,"burgs101",2,"ennid101",9,"jonew101",5,"ryanc102",4,"mayoj101",7,"waite101",3,"drewk101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"branr103",1,"","blacj103"
"BRO195205102","19520510",2,"Saturday",0,"F","N","PHI","BRO","NYC15","rober102","labic101","pineb101","boggd901","(none)","warnl101","","",31777,"Allan Roth","","Alan Boodman","1995/01/09 7:35PM","",1,1,0,0,-1,0,0,0,134,9,8,1,16,4,2,2,11,5,"rober102","labic101","","","ashbr101",8,"hamng102",6,"burgs101",2,"ennid101",9,"jonew101",5,"ryanc102",4,"mayoj101",7,"waite101",3,"rober102",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"labic101",1,"","kingc101"
"BRO195205110","19520511",0,"Sunday",0,"F","D","PHI","BRO","NYC15","fox-h101","erskc101","boggd901","warnl101","(none)","pineb101","","",9104,"Allan Roth","","Alan Boodman","1995/01/10 8:22AM","",1,1,0,0,-1,0,0,0,149,10,3,4,8,5,3,1,7,7,"erskc101","fox-h101","","","ashbr101",8,"hamng102",6,"burgs101",2,"ennid101",9,"jonew101",5,"ryanc102",4,"mayoj101",7,"waite101",3,"fox-h101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"erskc101",1,"",""
"BRO195205130","19520513",0,"Tuesday",0,"F","D","SLN","BRO","NYC15","presj101","roe-p101","gorea901","stewb901","gugla901","conlj102","","",4951,"Allan Roth","","Alan Boodman","1995/01/10 9:56AM","",1,1,0,0,-1,0,0,0,200,9,8,14,13,14,1,1,8,12,"wadeb101","presj101","","","stane101",4,"hemus101",6,"lowrp101",9,"musis101",3,"schor101",5,"westw102",8,"miggl101",7,"riced101",2,"presj101",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"roe-p101",1,"boked101","wadeb101"
"BRO195205140","19520514",0,"Wednesday",0,"F","D","SLN","BRO","NYC15","stalg103","vancc101","stewb901","gugla901","conlj102","gorea901","","",6235,"Allan Roth","","Alan Boodman","1995/01/10 10:33AM","",1,1,0,0,-1,0,0,0,123,9,5,1,6,6,0,0,6,4,"stalg103","vancc101","","","hemus101",6,"lowrp101",9,"schor101",4,"musis101",8,"miggl101",7,"sisld101",3,"johnb108",5,"riced101",2,"stalg103",1,"reesp101",6,"cox-b101",5,"robij103",4,"campr102",2,"pafka101",7,"snidd101",8,"hodgg101",3,"furic101",9,"vancc101",1,"","branr103"
