"NYA194904190","19490419",0,"Tuesday",0,"F","D","WS1","NYA","NYC16","hudss101","lopae101","romme101","passa901","boyej901","hurle901","","",40075,"14","David W. Smith","David W. Smith","1995/03/25 10:32PM","",1,0,0,0,-1,0,0,0,143,9,2,3,8,9,0,0,6,11,"lopae101","hudss101","","","coang101",7,"dents101",6,"lewib103",9,"vollc101",8,"yoste101",5,"robie101",3,"kozaa101",4,"evana101",2,"hudss101",1,"stirs101",4,"rizzp101",6,"woodg101",8,"henrt101",9,"baueh101",7,"browb105",5,"kryhd101",3,"niarg101",2,"lopae101",1,"",""
"NYA194904200","19490420",0,"Wednesday",0,"F","D","WS1","NYA","NYC16","calvp101","rascv101","passa901","boyej901","hurle901","romme101","","",12551,"14","Mugler","Mugler","1999/06/11 6:44PM","",0,0,0,0,-1,0,0,0,121,9,0,3,3,5,0,1,5,7,"rascv101","calvp101","","","coang101",7,"dents101",6,"lewib103",9,"vollc101",8,"yoste101",5,"robie101",3,"kozaa101",4,"evana101",2,"calvp101",1,"colej106",4,"rizzp101",6,"woodg101",8,"henrt101",9,"baueh101",7,"browb105",5,"berry101",2,"kryhd101",3,"rascv101",1,"",""
"NYA194904210","19490421",0,"Thursday",0,"F","D","WS1","NYA","NYC16","thomf109","byrnt101","boyej901","hurle901","romme101","passa901","","",11659,"14","Mugler","Mugler","1999/06/12 10:47AM","",0,0,0,0,-1,0,0,0,118,9,1,2,5,8,1,0,9,6,"byrnt101","thomf109","","","coang101",7,"dents101",6,"lewib103",9,"vollc101",8,"yoste101",5,"robie101",3,"kozaa101",4,"weigr101",2,"thomf109",1,"colej106",4,"rizzp101",6,"lindj101",8,"henrt101",9,"baueh101",7,"johnb108",5,"berry101",2,"philj101",3,"byrnt101",1,"",""
"NYA194904250","19490425",0,"Monday",0,"F","D","PHA","NYA","NYC16","colej101","rascv101","mckib901","mcgob901","joner901","hurle901","","",14704,"210","Comly","Comly","2011/05/27 9:43PM","",0,0,0,0,-1,0,0,0,132,9,2,3,5,6,2,1,7,8,"rascv101","colej101","","","joose101",6,"valoe101",7,"fainf101",3,"wrigt102",9,"majeh101",5,"chaps101",8,"rosab101",2,"sudep101",4,"colej101",1,"colej106",4,"rizzp101",6,"lindj101",7,"henrt101",9,"berry101",2,"johnb108",5,"woodg101",8,"kryhd101",3,"rascv101",1,"",""
"NYA194904260","19490426",0,"Tuesday",0,"F","D","PHA","NYA","NYC16","marcp101","byrnt101","mcgob901","joner901","hurle901","mckib901","","",12507,"New York Sun","Mark Pankin","Mark Pankin","2013/09/16 17:27","",1,0,0,0,-1,0,0,0,156,9,4,5,5,7,0,2,8,4,"pagej101","kella103","hillf101","","joose101",6,"valoe101",7,"fainf101",3,"whitd106",9,"majeh101",5,"chaps101",8,"rosab101",2,"sudep101",4,"marcp101",1,"colej106",4,"rizzp101",6,"lindj101",7,"henrt101",9,"berry101",2,"johnb108",5,"woodg101",8,"kryhd101",3,"byrnt101",1,"kella103","hillf101"
"NYA194904290","19490429",0,"Friday",0,"F","D","BOS","NYA","NYC16","kramj101","rascv101","romme101","passa901","mckib901","boyej901","","",24069,"115,211","Bob Kistler/Comly","Greg Beston/Comly","1994/04/05 5:28PM","",0,0,0,0,-1,0,0,0,138,9,1,7,6,6,2,2,10,6,"rascv101","kramj101","","","dimad101",8,"peskj101",5,"willt103",7,"stepv101",6,"doerb101",4,"spens101",9,"dropw101",3,"tebbb101",2,"kramj101",1,"colej106",4,"rizzp101",6,"woodg101",8,"henrt101",9,"berry101",2,"browb105",5,"kryhd101",3,"mapec101",7,"rascv101",1,"galed101",""
"NYA194904300","19490430",0,"Saturday",0,"F","D","BOS","NYA","NYC16","dobsj101","byrnt101","passa901","mckib901","boyej901","romme101","","",49205,"115","Bob Kistler","Greg Beston","1994/04/05 5:58PM","",0,0,0,0,-1,0,0,0,146,9,3,4,6,6,0,2,7,3,"sheas101","hught102","","","dimad101",8,"peskj101",5,"willt103",7,"stepv101",6,"doerb101",4,"meles101",9,"dropw101",3,"tebbb101",2,"dobsj101",1,"colej106",4,"rizzp101",6,"woodg101",8,"henrt101",9,"berry101",2,"browb105",5,"kryhd101",3,"mapec101",7,"byrnt101",1,"hught102","sheas101"
"NYA194905010","19490501",0,"Sunday",0,"F","D","BOS","NYA","NYC16","parnm101","reyna102","mckib901","boyej901","romme101","passa901","","",54328,"276","David W. Smith","David W. Smith","2012/08/12 5:43PM","",1,0,0,0,-1,0,0,0,127,8,11,2,14,6,1,2,4,6,"parnm101","reyna102","","","dimad101",8,"peskj101",5,"willt103",7,"stepv101",6,"doerb101",4,"goodb101",3,"meles101",9,"tebbb101",2,"parnm101",1,"colej106",4,"rizzp101",6,"baueh101",8,"henrt101",9,"berry101",2,"johnb108",5,"lindj101",7,"philj101",3,"reyna102",1,"","sheas101"
"NYA194905170","19490517",0,"Tuesday",0,"F","N","CLE","NYA","NYC16","bearg102","lopae101","hubbc901","mckib901","grieb901","papaj901","","",73150,"3","R.STIEGLITZ","R.STIEGLITZ","1994/12/08 4:54PM","",1,0,0,0,-1,0,0,0,124,9,3,4,7,16,1,2,5,12,"lopae101","bearg102","","","mitcd101",7,"vernm101",3,"gordj101",4,"boudl101",6,"keltk101",5,"dobyl101",8,"clara102",9,"hegaj101",2,"bearg102",1,"colej106",4,"rizzp101",6,"baueh101",8,"henrt101",9,"berry101",2,"johnb108",5,"lindj101",7,"philj101",3,"lopae101",1,"zolds101",""
"NYA194905180","19490518",0,"Wednesday",0,"F","D","CLE","NYA","NYC16","fellb101","rascv101","mckib901","grieb901","papaj901","hubbc901","","",28606,"3","R.STIEGLITZ","R.STIEGLITZ","1994/12/08 6:07PM","",1,0,0,0,-1,0,0,0,117,9,0,6,2,13,1,1,3,8,"rascv101","fellb101","","","mitcd101",7,"vernm101",3,"gordj101",4,"boudl101",6,"rosea101",5,"dobyl101",8,"clara102",9,"hegaj101",2,"fellb101",1,"colej106",4,"rizzp101",6,"woodg101",7,"henrt101",9,"berry101",2,"browb105",5,"kryhd101",3,"mapec101",8,"rascv101",1,"papif101",""
