"OAK198805050","19880505",0,"Thursday",1218,"T","D","TOR","OAK","OAK01","ceruj001","ontis001","kaisk901","mckej901","reilm901","shulj901","","",16998,"Susan Nelson","","Dan Dobbins","","",1,1,65,8,15,4,1,2,192,9,5,8,4,11,0,0,5,8,"plune001","nunej001","","mcgwm001","fernt001",6,"mosel001",8,"white002",2,"bellg001",7,"mcgrf001",3,"barfj001",9,"mullr001",10,"grubk001",5,"lee-m001",4,"philt001",7,"lansc001",5,"cansj001",9,"mcgwm001",3,"hendd001",8,"bayld001",10,"steit001",2,"hubbg001",4,"gallm001",6,"welld001","plune001"
"OAK198805070","19880507",0,"Saturday",107,"T","D","CLE","OAK","OAK01","candt001","davis001","mckej901","reilm901","shulj901","kaisk901","","",22793,"Susan Nelson","","Dan Dobbins","","",2,1,57,4,15,2,1,2,160,9,3,14,9,19,0,0,7,7,"davis001","candt001","nelsg001","mcgwm001","franj002",4,"hallm001",7,"cartj001",8,"jacob001",5,"kittr001",10,"upshw001",3,"snydc001",9,"bandc001",2,"bellj001",6,"lansc001",5,"javis001",7,"cansj001",9,"mcgwm001",3,"hendd001",8,"hassr001",2,"bayld001",10,"hubbg001",4,"gallm001",6,"dedmj001","nelsg001"
"OAK198805080","19880508",0,"Sunday",107,"T","D","CLE","OAK","OAK01","swing001","stewd001","reilm901","shulj901","kaisk901","mckej901","","",31829,"Susan Nelson","","Jana McBride","","",1,1,65,0,-1,2,1,2,136,9,1,5,4,9,1,2,6,7,"stewd001","swing001","","cansj001","franj002",4,"upshw001",3,"cartj001",8,"jacob001",5,"hallm001",7,"castc001",9,"clard001",10,"allaa001",2,"bellj001",6,"philt001",7,"lansc001",5,"cansj001",9,"mcgwm001",3,"hendd001",8,"bayld001",10,"hubbg001",4,"merco001",2,"gallm001",6,"codic001",""
"OAK198805090","19880509",0,"Monday",737,"T","N","DET","OAK","OAK01","morrj001","welcb001","cobld901","mcclt901","denkd901","mccol901","","",35300,"Peter Barnett","","Ruth R. Subers","","",1,1,60,2,-1,4,1,4,147,9,1,3,4,9,1,1,4,9,"welcb001","morrj001","ecked001","cansj001","pettg001",8,"whitl001",4,"evand001",3,"trama001",6,"nokem001",2,"lemoc001",9,"sherp001",7,"bergd001",10,"salal001",5,"lansc001",5,"javis001",7,"cansj001",9,"parkd001",10,"mcgwm001",3,"hassr001",2,"hendd001",8,"hubbg001",4,"gallm001",6,"","ecked001"
"OAK198805100","19880510",0,"Tuesday",735,"T","N","DET","OAK","OAK01","terrw001","younc001","mcclt901","denkd901","mccol901","cobld901","","",23341,"Peter Barnett","","Ruth R. Subers","","",1,1,65,2,-1,4,1,4,178,9,8,2,11,5,1,5,5,10,"terrw001","younc001","","hernl001","pettg001",8,"broot001",5,"salal001",7,"trama001",6,"hernl001",10,"lemoc001",9,"knigr001",3,"heatm001",2,"walej001",4,"lansc001",5,"javis001",7,"cansj001",9,"parkd001",10,"mcgwm001",3,"hassr001",2,"hendd001",8,"hubbg001",4,"gallm001",6,"hennm001","cadag001"
"OAK198805110","19880511",0,"Wednesday",1218,"T","D","DET","OAK","OAK01","robij002","davis001","denkd901","mccol901","cobld901","mcclt901","","",26860,"SUSAN NELSON","","RUTH R. SUBERS","","",3,1,70,0,-1,4,1,1,196,9,8,4,16,10,0,1,9,10,"hernw001","ecked001","","heatm001","pettg001",8,"whitl001",4,"salal001",6,"nokem001",2,"evand001",3,"lemoc001",9,"sherp001",7,"morrj002",10,"broot001",5,"lansc001",5,"javis001",8,"cansj001",9,"parkd001",7,"mcgwm001",3,"bayld001",10,"philt001",4,"merco001",2,"gallm001",6,"hernw001","plune001"
"OAK198805230","19880523",0,"Monday",228,"T","D","BAL","OAK","OAK01","boddm001","stewd001","scotd901","clara901","phild901","voltv901","","",26077,"S.Nelson","","D.E.Peterson","","",1,1,60,1,14,4,1,4,148,9,7,3,9,9,0,1,1,6,"boddm001","stewd001","niedt001","dwyej001","hughk001",9,"lynnf001",8,"ripkc001",6,"murre001",3,"sheel001",7,"dwyej001",10,"tettm001",2,"schur001",5,"ripkb001",4,"lansc001",5,"parkd001",7,"cansj001",9,"mcgwm001",3,"hassr001",2,"bayld001",10,"hendd001",8,"hubbg001",4,"weisw001",6,"niedt001",""
"OAK198805240","19880524",0,"Tuesday",735,"T","N","BAL","OAK","OAK01","tibbj001","ontis001","clara901","phild901","voltv901","scotd901","","",15375,"A.Severson","","D.E.Peterson","","",3,1,56,0,-1,4,1,4,162,9,0,6,4,16,1,0,6,13,"ontis001","tibbj001","","weisw001","hughk001",9,"lynnf001",8,"ripkc001",6,"murre001",3,"sheel001",7,"dwyej001",10,"tettm001",2,"schur001",5,"ripkb001",4,"lansc001",5,"javis001",7,"cansj001",9,"parkd001",10,"mcgwm001",3,"hassr001",2,"hendd001",8,"gallm001",4,"weisw001",6,"aased001","cadag001"
"OAK198805250","19880525",0,"Wednesday",1205,"T","D","BAL","OAK","OAK01","willm004","welcb001","phild901","voltv901","scotd901","clara901","","",16807,"S.Nelson","","D.E.Peterson","","",3,1,65,0,-1,4,1,3,126,9,1,8,4,9,0,1,3,3,"welcb001","willm004","","parkd001","gerhk001",8,"hughk001",9,"ripkc001",6,"murre001",3,"sheel001",7,"dwyej001",10,"kennt001",2,"schur001",5,"ripkb001",4,"lansc001",5,"javis001",7,"cansj001",9,"parkd001",10,"mcgwm001",3,"hassr001",2,"hendd001",8,"gallm001",4,"weisw001",6,"","honer001"
"OAK198805270","19880527",0,"Friday",739,"T","N","BOS","OAK","OAK01","hursb001","younc001","hendt901","younl901","evanj901","tscht901","","",32723,"D.Burks","","D.E.Peterson","","",1,1,62,3,14,4,1,4,133,9,2,3,8,5,0,0,7,4,"younc001","hursb001","ecked001","cansj001","burke001",8,"barrm001",4,"boggw001",5,"evand002",3,"greem001",7,"ricej001",10,"ceror001",2,"owens001",6,"andeb001",9,"lansc001",5,"javis001",7,"cansj001",9,"mcgwm001",3,"bayld001",10,"hendd001",8,"hassr001",2,"gallm001",4,"weisw001",6,"","ecked001"
"OAK198805280","19880528",0,"Saturday",107,"T","D","BOS","OAK","OAK01","boydo001","stewd001","younl901","evanj901","tscht901","hendt901","","",43177,"S.Nelson","","D.E.Peterson","","",3,1,62,0,12,2,2,3,173,9,5,7,13,11,1,0,11,10,"honer001","lampd001","ecked001","hassr001","boggw001",5,"barrm001",4,"burke001",8,"evand002",3,"greem001",7,"ricej001",10,"gedmr001",2,"owens001",6,"andeb001",9,"lansc001",5,"javis001",7,"cansj001",9,"parkd001",10,"mcgwm001",3,"hendd001",8,"gallm001",4,"merco001",2,"weisw001",6,"stanb001","ecked001"
