"CAL196704110","19670411",0,"Tuesday",0,"F","N","DET","CAL","ANA01","mclad101","brung101","flahr901","ricej901","dimul901","ashfe901","","",17839,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,143,9,2,4,3,10,2,0,5,6,"brung101","mclad101","","reicr101","wertd103",5,"tracd101",6,"cashn101",3,"kalia101",9,"nortj101",8,"browg101",7,"freeb103",2,"mcaud101",4,"mclad101",1,"schap101",5,"fregj101",6,"hallj107",9,"reicr101",7,"mincd101",3,"cardj101",8,"rodgb102",2,"knoob101",4,"brung101",1,"penao101",""
"CAL196704120","19670412",0,"Wednesday",0,"F","N","DET","CAL","ANA01","lolim101","lopem101","ricej901","dimul901","ashfe901","flahr901","","",8344,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,188,9,6,3,10,6,2,0,11,6,"lolim101","lopem101","","","woodj107",4,"wertd103",5,"browg101",7,"kalia101",9,"nortj101",8,"cashn101",3,"freeb103",2,"tracd101",6,"lolim101",1,"schap101",5,"fregj101",6,"reicr101",7,"cardj101",8,"mortb101",9,"mincd101",3,"knoob101",4,"rodgb102",2,"lopem101",1,"","coatj101"
"CAL196704140","19670414",0,"Friday",0,"F","N","CLE","CAL","ANA01","tianl101","sanfj101","dimul901","ashfe901","flahr901","ricej901","","",11142,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,140,9,1,10,8,15,0,0,5,8,"sanfj101","tianl101","rojam101","mincd101","davav101",8,"alvim101",5,"wagnl101",7,"whitf103",3,"hintc101",9,"gil-g101",4,"simsd101",2,"browl104",6,"tianl101",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"mincd101",3,"cardj101",9,"rodgb102",2,"knoob101",4,"sanfj101",1,"bails102","rojam101"
"CAL196704150","19670415",0,"Saturday",0,"F","D","CLE","CAL","ANA01","bellg102","mcglj101","ashfe901","flahr901","ricej901","dimul901","","",22519,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,176,10,4,1,12,7,1,0,8,8,"culvg101","cimip101","","whitf103","davav101",8,"alvim101",5,"hintc101",9,"whitf103",3,"wagnl101",7,"simsd101",2,"gil-g101",4,"browl104",6,"bellg102",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"mincd101",3,"cardj101",9,"rodgb102",2,"knoob101",4,"mcglj101",1,"culvg101","willn101"
"CAL196704161","19670416",1,"Sunday",0,"F","D","BAL","CAL","ANA01","mcnad102","brung101","ashfe901","flahr901","ricej901","dimul901","","",0,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,145,10,4,5,8,10,0,0,7,5,"burdl101","mills101","","fregj101","blefc101",7,"aparl101",6,"robif103",9,"robib104",5,"poweb101",3,"johnd105",4,"blaip101",8,"etcha101",2,"mcnad102",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"cardj101",9,"mincd101",3,"knoob101",4,"rodgb102",2,"brung101",1,"mills101","burdl101"
"CAL196704162","19670416",2,"Sunday",0,"F","D","BAL","CAL","ANA01","barbs102","rubij101","flahr901","ricej901","dimul901","ashfe901","","",28066,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,148,9,3,0,10,1,0,0,10,4,"barbs102","rubij101","","blefc101","aparl101",6,"blaip101",8,"robif103",9,"robib104",5,"poweb101",3,"blefc101",7,"johnd105",4,"hanel101",2,"barbs102",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"cardj101",9,"mincd101",3,"knoob101",4,"rodgb102",2,"rubij101",1,"","kelsb101"
"CAL196705010","19670501",0,"Monday",0,"F","N","BOS","CAL","ANA01","bennd101","rubij101","hallb901","honoj901","chyln901","drumc901","","",8956,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,138,9,4,0,11,6,0,0,9,8,"bennd101","rubij101","","scotg102","smitr101",8,"andrm101",4,"yastc101",7,"conit101",9,"joned102",5,"scotg102",3,"petrr101",6,"gibsr102",2,"bennd101",1,"fregj101",6,"johnj002",8,"cardj101",9,"reicr101",7,"knoob101",4,"mincd101",3,"rodgb102",2,"schap101",5,"rubij101",1,"","cimip101"
"CAL196705020","19670502",0,"Tuesday",0,"F","N","BOS","CAL","ANA01","fisch101","mcglj101","honoj901","chyln901","drumc901","hallb901","","",8167,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,117,9,2,3,3,6,0,1,3,3,"mcglj101","fisch101","","mcglj101","smitr101",8,"andrm101",4,"yastc101",7,"conit101",9,"joned102",5,"scotg102",3,"petrr101",6,"gibsr102",2,"fisch101",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"hallj107",9,"mincd101",3,"rodgb102",2,"knoob101",4,"mcglj101",1,"wyatj102",""
"CAL196705030","19670503",0,"Wednesday",0,"F","N","BOS","CAL","ANA01","lonbj101","willn101","chyln901","drumc901","hallb901","honoj901","","",8880,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,133,9,1,2,5,4,0,1,7,5,"kelsb101","lonbj101","","","smitr101",8,"foy-j101",5,"yastc101",7,"conit101",9,"scotg102",3,"petrr101",6,"gibsr102",2,"andrm101",4,"lonbj101",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"hallj107",9,"mincd101",3,"rodgb102",2,"knoob101",4,"willn101",1,"","kelsb101"
"CAL196705050","19670505",0,"Friday",0,"F","N","WS2","CAL","ANA01","pascc102","brung101","drumc901","hallb901","honoj901","chyln901","","",13131,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,124,9,4,1,8,4,1,0,5,3,"pascc102","brung101","","petec101","brine101",6,"cullt101",4,"alleh104",8,"howaf102",7,"mcmuk101",5,"petec101",9,"harrk101",3,"casap101",2,"pascc102",1,"schap101",5,"fregj101",6,"johnj002",8,"reicr101",7,"hallj107",9,"mincd101",3,"rodgb102",2,"knoob101",4,"brung101",1,"","kelsb101"
