"KCA199204130","19920413",0,"Monday",0,"T","D","OAK","KCA","KAN06","moorm001","gordt001","fordd901","clara901","barnl901","koscg901","","",39428,"STATS Inc.","","STATS Inc.","","",1,1,63,1,12,0,1,2,181,9,6,1,10,5,0,1,11,6,"moorm001","gordt001","","","hendr001",7,"wilsw001",8,"cansj001",9,"bainh001",10,"mcgwm001",3,"quirj001",2,"lansc001",5,"bordm001",6,"blanl001",4,"mcrab001",8,"jeffg001",5,"joynw001",3,"mcrek001",9,"bretg001",10,"macfm001",2,"millk001",7,"howad001",6,"shumt001",4,"gossr001","montj002"
"KCA199204140","19920414",0,"Tuesday",0,"T","N","OAK","KCA","KAN06","darlr001","gubim001","clara901","barnl901","koscg901","fordd901","","",17321,"STATS Inc.","","STATS Inc.","","",1,1,63,1,8,0,1,2,154,9,1,3,7,1,1,0,9,3,"heatn001","honer001","montj002","","hendr001",7,"kingm001",8,"cansj001",9,"bainh001",10,"mcgwm001",3,"quirj001",2,"bross001",5,"bordm001",6,"blanl001",4,"mcrab001",8,"jeffg001",5,"joynw001",3,"mcrek001",9,"bretg001",10,"macfm001",2,"millk001",7,"howad001",6,"shumt001",4,"honer001","montj002"
"KCA199204150","19920415",0,"Wednesday",0,"T","N","OAK","KCA","KAN06","slusj001","davim001","barnl901","koscg901","fordd901","clara901","","",16519,"STATS Inc.","","STATS Inc.","","",1,1,73,1,9,0,1,2,204,9,10,6,14,12,1,0,8,8,"parrj001","magnm001","horsv001","","hendr001",7,"blanl001",4,"cansj001",10,"mcgwm001",3,"lansc001",5,"wilsw001",8,"bross001",9,"bordm001",6,"hemos001",2,"mcrab001",8,"jeffg001",5,"joynw001",3,"mcrek001",9,"bretg001",10,"macfm001",2,"millk001",7,"howad001",6,"shumt001",4,"horsv001","meacr001"
"KCA199204160","19920416",0,"Thursday",0,"T","N","OAK","KCA","KAN06","stewd001","appik001","koscg901","fordd901","clara901","barnl901","","",22041,"STATS Inc.","","STATS Inc.","","",1,1,55,3,14,0,1,3,158,10,1,0,3,4,0,1,4,7,"stewd001","montj002","ecked001","","hendr001",7,"lansc001",5,"cansj001",9,"bainh001",10,"mcgwm001",3,"quirj001",2,"wilsw001",8,"bordm001",6,"blanl001",4,"millk001",7,"jeffg001",5,"joynw001",3,"mcrek001",9,"bretg001",10,"eisej001",8,"maynb001",2,"howad001",6,"shumt001",4,"ecked001","montj002"
"KCA199204170","19920417",0,"Friday",0,"T","N","CAL","KCA","KAN06","lewis001","boddm001","morrd901","welkt901","scotd901","garcr901","","",18296,"STATS Inc.","","STATS Inc.","","",1,1,57,8,5,0,1,2,141,9,8,1,14,3,1,2,9,5,"lewis001","boddm001","","","polol001",7,"felij001",8,"hayev001",9,"brooh001",10,"davia002",3,"gaetg001",5,"parrl001",2,"roseb001",4,"disag001",6,"millk001",7,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",9,"maynb001",2,"wilkc001",4,"howad001",6,"eichm001","magnm001"
"KCA199204180","19920418",0,"Saturday",0,"T","D","CAL","KCA","KAN06","abboj001","gordt001","welkt901","scotd901","garcr901","morrd901","","",20129,"STATS Inc.","","STATS Inc.","","",1,1,74,8,15,0,1,2,188,10,5,3,11,7,3,0,6,7,"freys001","montj002","","","polol001",7,"felij001",8,"hayev001",9,"morrj003",10,"stevl001",3,"gaetg001",5,"parrl001",2,"roseb001",4,"disag001",6,"millk001",7,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",9,"macfm001",2,"wilkc001",6,"shumt001",4,"freys001","montj002"
"KCA199204210","19920421",0,"Tuesday",0,"T","N","BAL","KCA","KAN06","mesaj001","gubim001","cobld901","merrd901","reedr901","mcclt901","","",15258,"STATS Inc.","","STATS Inc.","","",1,1,39,4,10,0,1,2,185,9,10,4,14,10,1,1,7,9,"mesaj001","gubim001","","","andeb001",7,"devem001",8,"ripkc001",6,"horns001",10,"millr002",3,"orsuj001",9,"gomel001",5,"hoilc001",2,"mclem001",4,"millk001",7,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",9,"macfm001",2,"howad001",6,"shumt001",4,"davis001","meacr001"
"KCA199204220","19920422",0,"Wednesday",0,"T","N","BAL","KCA","KAN06","sutcr001","appik001","merrd901","reedr901","mcclt901","cobld901","","",16131,"STATS Inc.","","STATS Inc.","","",1,1,63,8,8,0,1,2,169,9,2,1,6,6,1,0,8,6,"sutcr001","appik001","","","andeb001",7,"devem001",8,"ripkc001",6,"horns001",10,"millr002",3,"orsuj001",9,"gomel001",5,"hoilc001",2,"ripkb001",4,"millk001",4,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",7,"eisej001",9,"macfm001",2,"wilkc001",6,"","magnm001"
"KCA199204230","19920423",0,"Thursday",0,"T","N","BAL","KCA","KAN06","mussm001","davim001","reedr901","mcclt901","cobld901","merrd901","","",20495,"STATS Inc.","","STATS Inc.","","",1,1,64,5,6,0,1,2,176,9,8,1,12,6,0,1,11,5,"mussm001","davim001","","","andeb001",7,"mercl001",9,"ripkc001",6,"devem001",8,"hoilc001",2,"hulet001",10,"gomel001",5,"segud001",3,"mclem001",4,"millk001",4,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",7,"eisej001",9,"melvb001",2,"wilkc001",6,"","montj002"
"KCA199205060","19920506",0,"Wednesday",0,"T","N","MIL","KCA","KAN06","navaj001","gubim001","cousd901","brinj901","coont901","reilm901","","",17271,"STATS Inc.","","STATS Inc.","","",1,1,63,8,5,0,1,1,151,9,1,3,7,7,1,1,8,7,"gubim001","navaj001","montj002","","molip001",10,"listp001",6,"younr001",8,"vaugg001",7,"stubf001",3,"bichd001",9,"surhb001",2,"seitk001",5,"gantj001",4,"millk001",4,"mcrab001",8,"jeffg001",5,"joynw001",3,"bretg001",10,"mcrek001",7,"eisej001",9,"maynb001",2,"rossr001",6,"orosj001","montj002"
