"WS2196704100","19670410",0,"Monday",0,"F","D","NYA","WS2","WAS10","stotm101","richp102","stevj901","stewb902","valeb901","sprim901","","",44382,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,153,9,8,0,14,2,1,2,7,6,"stotm101","richp102","","robib101","trest101",7,"robib101",9,"mantm101",3,"pepij101",8,"howae101",2,"smitc105",5,"clarh101",4,"kennj105",6,"stotm101",1,"brine101",6,"alleb105",4,"valef101",8,"howaf102",7,"nen-d101",3,"petec101",9,"mcmuk101",5,"camid101",2,"richp102",1,"","lined101"
"WS2196704120","19670412",0,"Wednesday",0,"F","N","NYA","WS2","WAS10","petef101","colej102","stewb902","valeb901","sprim901","stevj901","","",9396,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,160,9,4,10,8,10,4,2,8,7,"colej102","petef101","lined101","brine101","clarh101",4,"gibbj101",2,"trest101",7,"pepij101",8,"whits101",9,"smitc105",5,"barkr102",3,"kennj105",6,"petef101",1,"brine101",6,"alleb105",4,"valef101",8,"howaf102",7,"petec101",9,"harrk101",3,"mcmuk101",5,"camid101",2,"colej102",1,"womad101","lined101"
"WS2196704200","19670420",0,"Thursday",0,"F","N","CHA","WS2","WAS10","buzhj101","richp102","neudj901","nappl901","umonf901","kinnb901","","",5667,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,183,9,8,4,15,12,1,1,7,9,"buzhj101","richp102","lockb102","berrk101","bufod101",5,"berrk101",9,"ageet101",8,"wardp102",7,"adaij101",4,"josed101",2,"mccrt102",3,"hansr102",6,"buzhj101",1,"brine101",6,"alleb105",4,"valef101",8,"howaf102",7,"chanb101",3,"petec101",9,"mcmuk101",5,"casap101",2,"richp102",1,"lockb102","lined101"
"WS2196704210","19670421",0,"Friday",0,"F","N","CHA","WS2","WAS10","peteg101","colej102","nappl901","umonf901","kinnb901","neudj901","","",6419,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,148,9,3,4,7,7,1,0,4,12,"colej102","peteg101","","harrk101","bufod101",5,"berrk101",9,"mccrt102",3,"ageet101",8,"wardp102",7,"adaij101",4,"josed101",2,"hansr102",6,"peteg101",1,"brine101",6,"alleb105",4,"valef101",8,"howaf102",7,"petec101",9,"harrk101",3,"mcmuk101",5,"casap101",2,"colej102",1,"",""
"WS2196704220","19670422",0,"Saturday",0,"F","D","CHA","WS2","WAS10","horlj101","ortep101","umonf901","kinnb901","neudj901","nappl901","","",4133,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,130,9,1,0,2,2,0,0,3,2,"horlj101","ortep101","","ageet101","bufod101",5,"berrk101",9,"mccrt102",3,"ageet101",8,"wardp102",7,"adaij101",4,"martj107",2,"hansr102",6,"horlj101",1,"brine101",6,"alleb105",4,"valef101",8,"howaf102",7,"chanb101",3,"petec101",9,"mcmuk101",5,"casap101",2,"ortep101",1,"","knowd101"
"WS2196704230","19670423",0,"Sunday",0,"F","D","CHA","WS2","WAS10","howab101","moorb105","kinnb901","neudj901","nappl901","umonf901","","",7675,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,154,9,1,5,7,11,2,1,6,11,"moorb105","howab101","","alleb105","willw103",7,"bufod101",5,"berrk101",9,"ageet101",8,"wardp102",3,"josed101",2,"adaij101",4,"hansr102",6,"howab101",1,"brine101",6,"alleb105",4,"valef101",8,"chanb101",3,"kingj101",9,"petec101",7,"mcmuk101",5,"casap101",2,"moorb105",1,"wilhh101",""
"WS2196704240","19670424",0,"Monday",0,"F","N","BOS","WS2","WAS10","bennd101","pascc102","valeb901","sprim901","stevj901","stewb902","","",2235,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,180,9,7,4,9,8,2,2,6,7,"wyatj102","lined101","","","smitr101",8,"joned102",5,"yastc101",7,"hortt101",3,"petrr101",6,"thomg102",9,"gibsr102",2,"andrm101",4,"bennd101",1,"brine101",6,"cullt101",4,"alleh104",8,"howaf102",7,"petec101",9,"harrk101",3,"mcmuk101",5,"casap101",2,"pascc102",1,"wyatj102","cox-c101"
"WS2196704250","19670425",0,"Tuesday",0,"F","N","BOS","WS2","WAS10","fisch101","richp102","sprim901","stevj901","stewb902","valeb901","","",3367,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,151,9,9,3,10,5,0,2,5,6,"fisch101","richp102","","smitr101","smitr101",8,"joned102",5,"yastc101",7,"conit101",9,"petrr101",6,"scotg102",3,"gibsr102",2,"andrm101",4,"fisch101",1,"brine101",6,"kingj101",9,"valef101",8,"howaf102",7,"chanb101",3,"alleb105",4,"mcmuk101",5,"frenj101",2,"richp102",1,"","lined101"
"WS2196704280","19670428",0,"Friday",0,"F","N","MIN","WS2","WAS10","chand102","colej102","dimul901","ashfe901","flahr901","ricej901","","",8122,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,153,9,7,3,10,5,2,1,9,6,"chand102","colej102","","bondw101","tovac101",8,"nixor101",2,"rollr101",5,"killh102",3,"bondw101",7,"allib103",9,"versz101",6,"carer001",4,"chand102",1,"valef101",8,"mcmuk101",5,"kingj101",9,"howaf102",7,"chanb101",3,"alleb105",4,"casap101",2,"brine101",6,"colej102",1,"","humpb102"
"WS2196704290","19670429",0,"Saturday",0,"F","D","MIN","WS2","WAS10","boswd101","ortep101","ashfe901","flahr901","ricej901","dimul901","","",4886,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,194,9,6,9,12,12,1,1,10,5,"knowd101","perrj102","pridb101","","tovac101",8,"carer001",4,"rollr101",5,"killh102",3,"bondw101",7,"allib103",9,"versz101",6,"nixor101",2,"boswd101",1,"saveb101",4,"valef101",8,"kingj101",9,"howaf102",7,"chanb101",3,"casap101",2,"mcmuk101",5,"brine101",6,"ortep101",1,"klinr102","pridb101"
"WS2196704301","19670430",1,"Sunday",0,"F","D","MIN","WS2","WAS10","granj101","pascc102","flahr901","ricej901","dimul901","ashfe901","","",0,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,161,9,3,7,6,11,1,0,5,7,"pascc102","granj101","humpb102","pascc102","tovac101",8,"carer001",4,"rollr101",5,"killh102",3,"bondw101",7,"allib103",9,"versz101",6,"batte101",2,"granj101",1,"saveb101",4,"valef101",8,"kingj101",9,"howaf102",7,"chanb101",3,"casap101",2,"mcmuk101",5,"brine101",6,"pascc102",1,"siebd101","humpb102"
"WS2196704302","19670430",2,"Sunday",0,"F","D","MIN","WS2","WAS10","kaatj101","moorb105","ricej901","dimul901","ashfe901","flahr901","","",18555,"","","Luke Kraemer","","",1,0,0,0,-1,0,0,0,120,9,0,3,1,9,2,0,2,9,"moorb105","kaatj101","","harrk101","tovac101",8,"clarr103",5,"carer001",4,"killh102",3,"allib103",7,"kosca101",9,"versz101",6,"zimmj101",2,"kaatj101",1,"brine101",6,"cullt101",4,"alleh104",8,"howaf102",7,"petec101",9,"harrk101",3,"mcmuk101",5,"camid101",2,"moorb105",1,"klinr102",""
